Company,Product,TypeName,Inches,ScreenResolution,Name CPU,CPU Speed,Ram,Name Memory,Memory Capacity,Gpu,OpSys,Weight,Price_dollars,Discount,Star_rating,Rating,Review
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,AMD Radeon R5 M430,Windows 10,2.2,795.1384999999999,15,3.5,31,3
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7,2.9GHz,16,SSD,512GB,AMD Radeon Pro 560,macOS,1.83,3050.3433999999997,24,0.0,0,0
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,Intel Core i3 7100U,2.4GHz,8,HDD,1024GB,Nvidia GeForce 940MX,No OS,2.2,532.5826999999999,15,0.0,0,0
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,128GB,Intel UHD Graphics 620,Windows 10,1.22,1044.8867,38,4.5,3190,414
Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Atom x5-Z8350,1.44GHz,2,SSD,32GB,Intel HD Graphics 400,Windows 10,0.98,204.81486999999998,40,4.5,1946,240
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,2.5GHz,8,HDD,128GB,Nvidia GeForce GTX 1050,Windows 10,2.5,1066.2327,32,4.5,259,47
HP,255 G6,Notebook,15.6,1366x768,AMD E-Series E2-9000e,1.5GHz,4,HDD,500GB,AMD Radeon R2,No OS,1.86,275.36339999999996,27,4.5,425,67
Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.62,874.1186999999999,25,3.6,1120,196
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.91,703.3507,17,0.0,0,0
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U,2GHz,4,HDD,1024GB,Intel HD Graphics 520,Windows 10,2.3,446.81447199999997,16,0.0,0,0
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5,1.6GHz,8,SSD,128GB,Intel HD Graphics 6000,Mac OS X,1.35,1172.9626999999998,12,0.0,0,0
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,AMD Radeon 530,Windows 10,2.2,853.8399999999999,14,0.0,0,0
Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel Core i7 8650U,1.9GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.88,1385.3554,17,4.0,286,19
HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,1024GB,Nvidia GeForce 930MX,Windows 10,2.5,956.3008,17,4.0,58,6
Chuwi,"LapBook 15.6""",Notebook,15.6,1920x1080,Intel Atom x5-Z8300,1.44GHz,4,SSD,64GB,Intel HD Graphics,Windows 10,1.89,261.477827,14,0.0,0,0
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14,1366x768,AMD E-Series E2-6110,1.5GHz,2,SSD,32GB,AMD Radeon R2,Windows 10,1.65,212.3927,12,4.0,7,0
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,1920x1080,AMD A6-Series 9220,2.5GHz,4,HDD,500GB,AMD Radeon 530,Windows 10,2.71,468.5447,11,3.8,15279,1947
Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel Core i7 8550U,1.8GHz,16,SSD,512GB,Intel UHD Graphics 620,Windows 10,1.2,1994.7837,0,4.2,311,27
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5,1.6GHz,8,SSD,256GB,Intel HD Graphics 6000,Mac OS X,1.35,1065.1653999999999,0,4.2,47,7
Lenovo,IdeaPad 120S-14IAP,Notebook,14,1366x768,Intel Celeron Dual Core N3350,1.1GHz,4,SSD,64GB,Intel HD Graphics 500,Windows 10,1.44,265.7577,31,4.1,37,6
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7130U,2.7GHz,4,HDD,1024GB,Intel HD Graphics 620,Linux,2.1,391.6991,34,4.3,2080,235
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,128GB,AMD Radeon 530,Windows 10,2.8,1044.8867,28,4.3,1479,181
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,4,HDD,1024GB,Intel HD Graphics 620,Windows 10,1.86,521.5788369999999,27,4.4,67,3
HP,ProBook 450,Notebook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Nvidia GeForce 930MX ,Windows 10,2.1,938.1566999999999,20,4.2,273,30
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,1024GB,Intel HD Graphics 620,Linux,2,415.17969999999997,8,4.3,1267,171
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1060,Windows 10,2.65,1599.8826999999999,25,4.3,1063,152
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,8,HDD,1024GB,Nvidia GeForce 940MX,Linux,2.3,558.187227,14,4.6,14,0
Acer,Aspire A515-51G,Notebook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,4,SSD,256GB,Intel UHD Graphics 620,Windows 10,2.2,727.8986,26,0.0,0,0
Dell,Inspiron 7773,2 in 1 Convertible,17.3,1920x1080,Intel Core i5 8250U,1.6GHz,12,HDD,1024GB,Nvidia GeForce 150MX,Windows 10,2.77,1066.2327,14,4.4,6352,1014
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5,2.0GHz,8,SSD,256GB,Intel Iris Graphics 540,macOS,1.37,1514.4986999999999,28,4.3,284,39
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U,2GHz,4,SSD,128GB,Intel HD Graphics 520,No OS,2.2,393.83369999999996,27,4.6,44,5
Asus,Rog Strix,Gaming,17.3,1920x1080,AMD Ryzen 1700,3GHz,8,HDD,256GB,AMD Radeon RX 580,Windows 10,3.2,1386.4226999999998,35,4.2,33,4
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,4,SSD,256GB,AMD Radeon R5 M430,Windows 10,2.3,682.0047,34,4.2,286,36
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200,1.1GHz,4,HDD,1024GB,Nvidia GeForce 920MX,Windows 10,2.8,497.36179999999996,22,3.6,10,5
Lenovo,Yoga Book,2 in 1 Convertible,10.1,1920x1200,Intel Atom x5-Z8550,1.44GHz,4,SSD,64GB,Intel HD Graphics 400,Android,0.69,340.46869999999996,22,4.5,816,147
Acer,Aspire A515-51G,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Nvidia GeForce MX150,Windows 10,2.2,897.5993,35,4.3,543,65
HP,255 G6,Notebook,15.6,1920x1080,AMD A6-Series 9220,2.5GHz,4,SSD,256GB,AMD Radeon R4 Graphics,Windows 10,1.86,425.30837699999995,28,4.8,9,1
HP,ProBook 430,Notebook,13.3,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,512GB,Intel UHD Graphics 620,Windows 10,1.49,1177.2319,34,4.3,1221,265
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7100U,2.4GHz,4,HDD,1024GB,Intel HD Graphics 620,Windows 10,2.4,409.84319999999997,8,4.3,1178,137
Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,AMD Radeon 520,Windows 10,2.13,819.4729399999999,28,4.4,299,41
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,SSD,128GB,Intel HD Graphics 520,Windows 10,1.91,468.5447,30,4.4,20,1
Asus,VivoBook Max,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,4,SSD,256GB,Intel HD Graphics 620,Windows 10,2,625.640587,19,4.3,758,64
MSI,GS73VR 7RG,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1070,Windows 10,2.43,2613.8176999999996,28,4.4,634,64
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,SSD,256GB,Intel HD Graphics 520,Linux,2,442.92949999999996,22,4.5,816,147
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i7 8550U,1.8GHz,16,HDD,256GB,AMD Radeon 530,Windows 10,2.8,1386.4226999999998,33,5.0,4,0
Dell,Vostro 5471,Ultrabook,14,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.7,938.1566999999999,24,4.3,17,2
Lenovo,IdeaPad 520S-14IKB,Notebook,14,1920x1080,Intel Core i3 7130U,2.7GHz,8,SSD,256GB,Intel HD Graphics 620,No OS,1.7,639.3127,27,4.2,24,5
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.4,1004.3292999999999,25,4.3,1753,165
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.86,736.4369999999999,27,4.2,216,21
Asus,ZenBook Pro,Ultrabook,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,SSD,512GB,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,2116.4559,26,4.4,1084,160
HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U,2GHz,4,HDD,500GB,AMD Radeon 520,Windows 10,1.86,468.21383699999996,34,4.3,1221,265
HP,Stream 14-AX040wm,Notebook,14,1366x768,Intel Celeron Dual Core N3060,1.6GHz,4,SSD,32GB,Intel HD Graphics 400,Windows 10,1.44,244.41169999999997,25,3.8,19,3
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,4,HDD,1024GB,Intel HD Graphics 620,Windows 10,1.9,585.9476999999999,24,4.4,106,13
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,12,HDD,1024GB,Nvidia GeForce GTX 1050 Ti,Linux,3,1012.8676999999999,24,4.1,42,4
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i5 7200U,2.5GHz,4,SSD,128GB,Intel HD Graphics 620,Windows 10 S,1.252,1162.2896999999998,32,0.0,0,0
Dell,Inspiron 5370,Ultrabook,13.3,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,AMD Radeon 530,Windows 10,1.4,1019.2715,31,0.0,0,0
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,AMD Radeon 530,Windows 10,2.2,928.5509999999999,11,4.2,1029,107
MSI,GL72M 7RDX,Gaming,17.3,1920x1080,Intel Core i5 7300HQ,2.5GHz,8,HDD,128GB,Nvidia GeForce GTX 1050,Windows 10,2.7,1168.6934999999999,27,4.5,53,11
Acer,Aspire E5-475,Notebook,14,1366x768,Intel Core i3 6006U,2GHz,8,HDD,1024GB,Intel HD Graphics 520,Windows 10,2.1,415.17969999999997,0,0.0,0,0
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,1024GB,Nvidia GeForce GTX 1050,Windows 10,2.2,1012.8676999999999,23,0.0,0,0
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,HDD,2048GB,Intel HD Graphics 620,No OS,2.2,553.9286999999999,19,3.9,48,1
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,HDD,128GB,Intel UHD Graphics 620,Windows 10,2.02,912.5414999999999,27,3.7,3,0
Acer,Aspire A515-51G-32MX,Notebook,15.6,1920x1080,Intel Core i3 7130U,2.7GHz,4,HDD,1024GB,Nvidia GeForce MX130,Windows 10,2.2,565.669,22,0.0,0,0
HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,128GB,Nvidia GeForce 930MX,Windows 10,2.5,1042.7521,12,4.4,6352,1014
Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.88,1169.931568,11,3.3,61,4
Apple,"MacBook 12""",Ultrabook,12,2304x1440,Intel Core i5,1.3GHz,8,SSD,512GB,Intel HD Graphics 615,macOS,0.92,1611.6229999999998,0,4.3,97,13
HP,ProBook 440,Notebook,14,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.63,917.8779999999999,24,4.4,181,19
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1920x1080,AMD A6-Series 9220,2.5GHz,4,SSD,128GB,AMD R4 Graphics,Windows 10,2.2,425.85269999999997,25,4.4,529,39
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420,3GHz,4,HDD,1024GB,AMD Radeon R5,Windows 10,2.1,421.58349999999996,20,0.0,0,0
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,128GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,1439.7876999999999,33,0.0,0,0
HP,Pavilion 15-CK000nv,Ultrabook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Nvidia GeForce GTX 940MX,Windows 10,1.83,746.0427,16,0.0,0,0
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.96,639.302027,33,4.2,10,1
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,128GB,Nvidia GeForce GTX 1060,Windows 10,2.2,1546.5176999999999,7,4.4,5205,561
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.21,1759.9777,15,3.7,3,0
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,1920x1080,AMD FX 9830P,3GHz,8,HDD,1024GB,AMD Radeon RX 560,Windows 10,2.45,746.0427,17,0.0,0,0
Acer,Aspire 5,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,HDD,1024GB,Nvidia GeForce MX150,Windows 10,2.2,735.3697,2,4.2,1090,96
HP,Probook 430,Notebook,13.3,1920x1080,Intel Core i7 8550U,1.8GHz,16,SSD,512GB,Intel UHD Graphics 620,Windows 10,1.49,1277.5581,23,0.0,0,0
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,2.5GHz,8,SSD,256GB,Nvidia GeForce GTX 1060,Windows 10,2.65,1275.4234999999999,18,0.0,0,0
Asus,Zenbook UX430UA,Ultrabook,14,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.25,1119.5976999999998,16,5.0,1,1
Acer,Spin 5,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.5,904.0030999999999,19,4.0,44,2
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i7 7500U,2.7GHz,8,HDD,1024GB,AMD Radeon R5 M430,Linux,2.2,640.2732699999999,12,0.0,0,0
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,SSD,256GB,AMD Radeon R5 M430,Linux,2.2,517.6405,17,4.5,70,9
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,1920x1080,Intel Core i3 7100U,2.4GHz,6,SSD,256GB,Nvidia GeForce 920M,Windows 10,2,615.8321,17,0.0,0,0
HP,Omen 15-ce007nv,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,12,HDD,128GB,Nvidia GeForce GTX 1050,Windows 10,2.62,1333.0576999999998,16,0.0,0,0
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,AMD Radeon 530,Windows 10,1.91,767.3887,21,4.2,632,92
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,1920x1080,AMD E-Series E2-9000e,1.5GHz,4,HDD,500GB,AMD Radeon R2,Windows 10,2.1,372.48769999999996,0,4.4,71,8
Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,1024GB,AMD Radeon 520,Linux,2.2,690.5431,25,4.3,990,108
HP,Envy 13-ad009n,Ultrabook,13.3,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Nvidia GeForce MX150,Windows 10,1.38,1194.3086999999998,25,4.4,158,18
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10 S,1.252,1430.1819999999998,13,4.3,681,59
HP,Pavilion 14-BK001nv,Notebook,14,1920x1080,Intel Core i5 7200U,2.5GHz,6,SSD,256GB,Nvidia GeForce 940MX,Windows 10,1.58,703.3507,28,4.4,130,12
Lenovo,Ideapad 310-15ISK,Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,1024GB,Intel HD Graphics 520,Windows 10,1.85,442.82276999999993,23,4.3,1063,152
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Nvidia GeForce 940MX,Windows 10,1.3,1273.2889,25,4.3,30,4
MSI,GP62M 7REX,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,1386.4226999999998,23,4.7,6,2
Lenovo,Thinkpad T470,Notebook,14,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.58,1579.6039999999998,22,4.5,174,30
Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,16,HDD,256GB,Nvidia GeForce MX150,Windows 10,1.5,1346.9325999999999,25,4.5,40,7
Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel Core i7 7560U,2.4GHz,8,SSD,256GB,Intel Iris Plus Graphics 640,Windows 10,1.23,1471.8066999999999,37,3.9,13,1
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.37,1493.1526999999999,24,4.3,184,29
HP,Probook 440,Notebook,14,1366x768,Intel Core i5 8250U,1.6GHz,4,HDD,500GB,Intel UHD Graphics 620,Windows 10,1.63,770.5906,15,4.3,1296,126
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.21,1738.6317,12,4.3,571,56
HP,Spectre x360,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.26,1493.1420269999999,20,4.3,2551,297
HP,Probook 440,Notebook,14,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,512GB,Intel UHD Graphics 620,Windows 10,1.63,1156.9532,1,4.5,17,3
Dell,Inspiron 7570,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,HDD,256GB,Nvidia GeForce 940MX,Windows 10,2.16,1206.4012089999999,20,4.5,35,3
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,1024GB,Nvidia GeForce 920MX,Windows 10,2,601.9572,26,4.4,118,17
Asus,VivoBook S15,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Nvidia GeForce 940MX,Windows 10,1.7,1193.2413999999999,25,0.0,0,0
Acer,Spin 3,Notebook,15.6,1920x1080,Intel Core i3 7100U,2.4GHz,6,HDD,1024GB,Intel HD Graphics 620,Windows 10,2.1,511.2367,30,4.5,245,34
MSI,GS63VR 7RG,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1070,Windows 10,1.8,2392.35295,3,4.4,2058,305
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Nvidia GeForce 940MX,No OS,2.2,671.3317,11,4.1,117,11
HP,Probook 470,Notebook,17.3,1920x1080,Intel Core i7 8550U,1.8GHz,16,SSD,512GB,Nvidia GeForce 930MX ,Windows 10,2.5,1356.5383,14,0.0,0,0
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420,3GHz,4,SSD,256GB,AMD Radeon R5,Windows 10,2.1,481.35229999999996,25,4.7,74,11
HP,250 G6,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060,1.6GHz,4,HDD,500GB,Intel HD Graphics 400,No OS,1.86,276.4307,22,4.4,10,1
HP,Probook 440,Notebook,14,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,1024GB,Intel UHD Graphics 620,Windows 10,1.63,866.6475999999999,17,4.1,39,4
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14,1366x768,AMD E-Series 6110,1.5GHz,4,SSD,64GB,AMD Radeon R2,Windows 10 S,1.65,296.69872699999996,15,3.9,29,7
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i7 8550U,1.8GHz,16,HDD,256GB,AMD Radeon 530,Windows 10,2.8,1489.9507999999998,24,4.2,43,4
HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,2.5,990.4544,23,0.0,0,0
Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,8,HDD,1024GB,AMD Radeon R7 M445,Windows 10,2.36,681.994027,32,4.4,984,99
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,1024GB,AMD Radeon R5 M430,Windows 10,2.2,479.2177,3,4.3,523,66
Acer,Swift 3,Ultrabook,14,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.6,943.4931999999999,19,4.4,30,1
Acer,Aspire A515-51G-37JS,Notebook,15.6,1920x1080,Intel Core i3 7130U,2.7GHz,4,SSD,256GB,Nvidia GeForce MX130,Windows 10,2.2,610.4956,0,0.0,0,0
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,1366x768,Intel Core i7 7500U,2.7GHz,8,HDD,1024GB,Intel HD Graphics 620,Windows 10,2.05,638.2453999999999,18,0.0,0,0
HP,Probook 440,Notebook,14,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.63,1054.4923999999999,6,4.3,1605,215
Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350,1.1GHz,4,HDD,1024GB,Intel HD Graphics 500,No OS,1.9,269.343828,18,4.4,4008,519
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,1920x1080,Intel Core i5 7300HQ,2.5GHz,8,HDD,128GB,Nvidia GeForce GTX 1050,Windows 10,3,1001.1274,15,4.4,1869,234
